                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.67882,                0.42752,                 1.0698,                0.94616,                0.95457,                0.98491,                0.83901,                 0.6697,                0.33432,                 1.1375,                0.00802,                0.00802,                0.00802
                    102,                0.69683,                0.44031,                  1.078,                0.95449,                0.95893,                0.98723,                0.83368,                0.66871,                0.33019,                 1.1384,              0.0080002,              0.0080002,              0.0080002
                    103,                0.67875,                0.43531,                 1.0667,                0.96074,                0.95394,                0.98546,                0.83919,                0.67253,                0.32237,                 1.1374,              0.0079804,              0.0079804,              0.0079804
                    104,                0.68221,                0.42209,                 1.0686,                0.94947,                0.96101,                0.98634,                0.84292,                0.66773,                0.33619,                 1.1226,              0.0079606,              0.0079606,              0.0079606
                    105,                0.67606,                0.41715,                 1.0694,                0.95482,                0.96099,                0.98588,                0.84281,                0.66046,                0.31767,                 1.1225,              0.0079408,              0.0079408,              0.0079408
                    106,                0.69262,                0.44878,                 1.0792,                0.96136,                0.95222,                0.98526,                0.83589,                0.68235,                0.33126,                 1.1325,               0.007921,               0.007921,               0.007921
                    107,                0.68486,                0.42501,                 1.0705,                0.95631,                0.94912,                0.98629,                0.83994,                0.66891,                 0.3237,                 1.1376,              0.0079012,              0.0079012,              0.0079012
                    108,                0.67582,                0.42788,                 1.0679,                0.95765,                0.95695,                0.98944,                0.84669,                0.65806,                0.31224,                 1.1257,              0.0078814,              0.0078814,              0.0078814
                    109,                 0.6776,                0.41669,                 1.0681,                0.94498,                0.95547,                0.98541,                0.83737,                0.66702,                0.31683,                 1.1307,              0.0078616,              0.0078616,              0.0078616
                    110,                0.67698,                 0.4165,                 1.0687,                0.95029,                0.96478,                0.98659,                0.84508,                0.65539,                0.30949,                 1.1179,              0.0078418,              0.0078418,              0.0078418
                    111,                0.68165,                0.41502,                 1.0738,                 0.9394,                0.96768,                0.98538,                0.84804,                0.66109,                0.32484,                 1.1218,               0.007822,               0.007822,               0.007822
                    112,                0.67935,                0.42429,                 1.0683,                0.93927,                0.96773,                0.98553,                0.84476,                0.65247,                0.30981,                 1.1131,              0.0078022,              0.0078022,              0.0078022
                    113,                0.68248,                0.41483,                 1.0689,                0.96254,                0.97368,                0.99059,                0.84729,                0.66765,                0.30016,                 1.1246,              0.0077824,              0.0077824,              0.0077824
                    114,                0.67484,                 0.4168,                 1.0582,                0.98054,                0.95135,                0.98858,                0.84054,                0.67016,                0.30271,                 1.1263,              0.0077626,              0.0077626,              0.0077626
                    115,                0.67632,                0.42915,                  1.068,                0.94543,                 0.9747,                0.98748,                 0.8478,                0.65474,                0.31026,                 1.1191,              0.0077428,              0.0077428,              0.0077428
                    116,                0.66455,                0.40985,                 1.0577,                0.95613,                0.96238,                 0.9882,                0.84165,                0.66395,                 0.3183,                 1.1341,               0.007723,               0.007723,               0.007723
